Office Name,Contest ID,Ballot Name,Choice ID,Party,Total
State Senate District 35,43500,Total Votes,,,82600
State Senate District 36,43600,Nan Orrock (I) (Dem),48,DEM,78536
State Senate District 36,43600,Total Votes,,,78536
State Senate District 37,43700,Lindsey Tippins (I) (Rep),46,REP,60238
State Senate District 37,43700,Vanessa Parker (Dem),47,DEM,45370
State Senate District 37,43700,Total Votes,,,105608
State Senate District 38,43800,Horacena Tate (I) (Dem),48,DEM,79748
State Senate District 38,43800,Total Votes,,,79748
State Senate District 39 - Special Democratic Primary,43920,Zan Fort,172,DEM,9636
State Senate District 39 - Special Democratic Primary,43920,Sonya Halpern,173,DEM,31294
State Senate District 39 - Special Democratic Primary,43920,Jo Anna Potts,174,DEM,10751
State Senate District 39 - Special Democratic Primary,43920,Linda Pritchett,175,DEM,17573
State Senate District 39 - Special Democratic Primary,43920,Total Votes,,,69254
State Senate District 40,44000,Garry Guan (Rep),40,REP,35494
State Senate District 40,44000,Sally Harrell (I) (Dem),41,DEM,54359
State Senate District 40,44000,Total Votes,,,89853
State Senate District 41,44100,William Park Freeman (Rep),42,REP,14828
State Senate District 41,44100,Kim Jackson (Dem),43,DEM,58154
State Senate District 41,44100,Total Votes,,,72982
State Senate District 42,44200,Elena Parent (I) (Dem),44,DEM,85202
State Senate District 42,44200,Total Votes,,,85202
State Senate District 43,44300,Melanie Williams (Rep),45,REP,19703
State Senate District 43,44300,Tonya P. Anderson (I) (Dem),46,DEM,67857
State Senate District 43,44300,Total Votes,,,87560
State Senate District 44,44400,Benjamin Brooks (Rep),38,REP,10405
State Senate District 44,44400,Gail Davenport (I) (Dem),39,DEM,77593
State Senate District 44,44400,Total Votes,,,87998
State Senate Dist 45/Senador Estatal Dist 45,44500,Clint Dixon (Rep),46,REP,56965
State Senate Dist 45/Senador Estatal Dist 45,44500,Matielyn Jones (Dem),47,DEM,45493
State Senate Dist 45/Senador Estatal Dist 45,44500,Total Votes,,,102458
State Senate District 46,44600,Bill Cowsert (I) (Rep),37,REP,59278
State Senate District 46,44600,Zachary Perry (Dem),38,DEM,37924
State Senate District 46,44600,Total Votes,,,97202
State Senate District 47,44700,Frank Ginn (I) (Rep),35,REP,60282
State Senate District 47,44700,Dawn Johnson (Dem),36,DEM,31255
State Senate District 47,44700,Total Votes,,,91537
State Senate District 48,44800,Matt Reeves (Rep),52,REP,38358
State Senate District 48,44800,Michelle Au (Dem),53,DEM,49184
State Senate District 48,44800,Total Votes,,,87542
State Senate District 49,44900,"Cecil T. """"Butch"""" Miller (I) (Rep)",35,REP,74684
State Senate District 49,44900,Total Votes,,,74684
State Senate District 50,45000,Bo Hatchett (Rep),35,REP,71693
State Senate District 50,45000,Dee Daley (Dem),36,DEM,14493
State Senate District 50,45000,Total Votes,,,86186
State Senate District 51,45100,Steve Gooch (I) (Rep),35,REP,84767
State Senate District 51,45100,June Krise (Dem),36,DEM,17625
State Senate District 51,45100,Total Votes,,,102392
State Senate District 52,45200,Chuck Hufstetler (I) (Rep),37,REP,57621
State Senate District 52,45200,Charles DeYoung (Dem),38,DEM,17755
State Senate District 52,45200,Total Votes,,,75376
State Senate District 53,45300,Jeff Mullis (I) (Rep),35,REP,66064
State Senate District 53,45300,Total Votes,,,66064
State Senate District 54,45400,Chuck Payne (I) (Rep),37,REP,57768
State Senate District 54,45400,Total Votes,,,57768
State Senate District 55,45500,Gloria S. Butler (I) (Dem),49,DEM,85654
State Senate District 55,45500,Total Votes,,,85654
State Senate District 56,45600,John Albers (I) (Rep),38,REP,51476
State Senate District 56,45600,Sarah Beeson (Dem),39,DEM,49284
State Senate District 56,45600,Total Votes,,,100760
State House District 1,50100,Mike Cameron (Rep),36,REP,19371
State House District 1,50100,Total Votes,,,19371
State House District 2,50200,Steve Tarvin (I) (Rep),36,REP,21983
State House District 2,50200,Total Votes,,,21983
State House District 3,50300,Dewayne Hill (I) (Rep),37,REP,23054
State House District 3,50300,Total Votes,,,23054
State House District 4,50400,Kasey Carpenter (I) (Rep),37,REP,13377
State House District 4,50400,Total Votes,,,13377
State House District 5,50500,Matt Barton (I) (Rep),38,REP,19421
State House District 5,50500,Total Votes,,,19421
State House District 6,50600,Jason T. Ridley (I) (Rep),37,REP,18227
State House District 6,50600,Total Votes,,,18227
State House District 7,50700,David Ralston (I) (Rep),37,REP,27074
State House District 7,50700,Rick D. Day (Dem),38,DEM,5255
State House District 7,50700,Total Votes,,,32329
State House District 8,50800,Stan Gunter (Rep),37,REP,29195
State House District 8,50800,Dave Cooper (Dem),38,DEM,6407
State House District 8,50800,Total Votes,,,35602
State House District 9,50900,Will Wade (Rep),39,REP,26310
State House District 9,50900,Sharon L. Ravert (Dem),40,DEM,5046
State House District 9,50900,Total Votes,,,31356
State House District 10,51000,Victor E. Anderson (Rep),37,REP,21396
State House District 10,51000,Nick Mitchell (Dem),38,DEM,4116
State House District 10,51000,Total Votes,,,25512
State House District 11,51100,Rick Jasperse (I) (Rep),39,REP,22633
State House District 11,51100,Kayla Hollifield (Dem),40,DEM,4272
State House District 11,51100,Total Votes,,,26905
State House District 12,51200,Eddie Lumsden (I) (Rep),38,REP,17666
State House District 12,51200,Jonathan Gilreath-Harvey (Dem),39,DEM,4114
State House District 12,51200,Total Votes,,,21780
State House District 13,51300,Katie Dempsey (I) (Rep),39,REP,17421
State House District 13,51300,Total Votes,,,17421
State House District 14,51400,Mitchell Scoggins (I) (Rep),39,REP,24279
State House District 14,51400,Total Votes,,,24279
State House District 15,51500,Matthew Gambill (I) (Rep),40,REP,22536
State House District 15,51500,Total Votes,,,22536
State House District 16,51600,Trey Kelley (I) (Rep),41,REP,18106
State House District 16,51600,Lyndsay Arrendale (Dem),42,DEM,5074
State House District 16,51600,Total Votes,,,23180
State House District 17,51700,Martin Momtahan (I) (Rep),39,REP,23833
State House District 17,51700,Q. Dailey (Dem),40,DEM,9410
State House District 17,51700,Total Votes,,,33243
State House District 18,51800,Tyler Paul Smith (Rep),38,REP,18168
State House District 18,51800,Pat Rhudy (Dem),39,DEM,6002
State House District 18,51800,Total Votes,,,24170
State House District 19,51900,Joseph Gullett (I) (Rep),41,REP,19414
State House District 19,51900,Alison Feliciano (Dem),42,DEM,12132
State House District 19,51900,Total Votes,,,31546
State House District 20,52000,Charlice Byrd (Rep),40,REP,22262
State House District 20,52000,Ginny Lennox (Dem),41,DEM,11416
State House District 20,52000,Total Votes,,,33678
State House District 21,52100,Brad Thomas (Rep),42,REP,25787
State House District 21,52100,William D. Hughes (Dem),43,DEM,9681
State House District 21,52100,Total Votes,,,35468
State House District 22,52200,Wes Cantrell (I) (Rep),44,REP,31898
State House District 22,52200,Charles Ravenscraft (Dem),45,DEM,10962
State House District 22,52200,Total Votes,,,42860
State House District 23,52300,Mandi L. Ballinger (I) (Rep),46,REP,28118
State House District 23,52300,Total Votes,,,28118
State House District 24,52400,Sheri Smallwood Gilligan (I) (Rep),45,REP,27912
State House District 24,52400,Natalie Bucsko (Dem),46,DEM,10136
State House District 24,52400,Total Votes,,,38048
State House District 25,52500,Todd Jones (I) (Rep),47,REP,23733
State House District 25,52500,Christa Olenczak (Dem),48,DEM,14689
State House District 25,52500,Total Votes,,,38422
State House District 26,52600,"Lauren W. McDonald, III (Rep)",49,REP,29178
State House District 26,52600,Jason Boskey (Dem),50,DEM,8600
State House District 26,52600,Total Votes,,,37778
State House District 27,52700,Lee Hawkins (I) (Rep),38,REP,24715
State House District 27,52700,Total Votes,,,24715
State House District 28,52800,Chris Erwin (I) (Rep),37,REP,22655
State House District 28,52800,Total Votes,,,22655
State House District 29,52900,Matt Dubnik (I) (Rep),39,REP,12877
State House District 29,52900,Pat Calmes (Dem),40,DEM,6954
State House District 29,52900,Total Votes,,,19831
State House District 30,53000,"Emory Dunahoo, Jr. (I) (Rep)",41,REP,18717
State House District 30,53000,Leigh Miller (Dem),42,DEM,8003
State House District 30,53000,Total Votes,,,26720
State House District 31,53100,Tommy Benton (I) (Rep),39,REP,26632
State House District 31,53100,Pete Fuller (Dem),40,DEM,6524
State House District 31,53100,Total Votes,,,33156
State House District 32,53200,Alan Powell (I) (Rep),37,REP,22259
State House District 32,53200,Alisha Allen (Dem),38,DEM,4180
State House District 32,53200,Total Votes,,,26439
State House District 33,53300,Rob Leverett (Rep),40,REP,19768
State House District 33,53300,Kerry Dornell Hamm (Dem),41,DEM,6979
State House District 33,53300,Total Votes,,,26747
State House District 34,53400,Bert Reeves (I) (Rep),49,REP,16888
State House District 34,53400,Priscilla G. Smith (Dem),50,DEM,13199
State House District 34,53400,Total Votes,,,30087
State House District 35,53500,Ed Setzler (I) (Rep),51,REP,15189
State House District 35,53500,Kyle Rinaudo (Dem),52,DEM,14909
State House District 35,53500,Total Votes,,,30098
State House District 36,53600,Ginny Ehrhart (I) (Rep),53,REP,24536
State House District 36,53600,James Francis Ryner (Dem),54,DEM,13313
State House District 36,53600,Total Votes,,,37849
State House District 37,53700,Rose Wing (Rep),55,REP,13603
State House District 37,53700,Mary Frances Williams (I) (Dem),56,DEM,15946
State House District 37,53700,Total Votes,,,29549
State House District 38,53800,David Wilkerson (I) (Dem),57,DEM,25015
State House District 38,53800,Total Votes,,,25015
State House District 39,53900,Jim Hickey (Rep),58,REP,4411
State House District 39,53900,Erica Thomas (I) (Dem),59,DEM,20613
State House District 39,53900,Total Votes,,,25024
State House District 40,54000,Taryn Chilivis Bowman (Rep),60,REP,14773
State House District 40,54000,Erick Eugene Allen (I) (Dem),61,DEM,20716
State House District 40,54000,Total Votes,,,35489
State House District 41,54100,"Stephen M. George, Jr. (Rep)",62,REP,5878
State House District 41,54100,Michael Smith (I) (Dem),63,DEM,14960
State House District 41,54100,Total Votes,,,20838
State House District 42,54200,Teri Anulewicz (I) (Dem),64,DEM,17237
State House District 42,54200,Total Votes,,,17237
State House District 43,54300,Sharon Cooper (I) (Rep),65,REP,15928
State House District 43,54300,Luisa Wakeman (Dem),66,DEM,15452
State House District 43,54300,Total Votes,,,31380
State House District 44,54400,Don L. Parsons (I) (Rep),67,REP,16809
State House District 44,54400,Connie DiCicco (Dem),68,DEM,15623
State House District 44,54400,Total Votes,,,32432
State House District 45,54500,Matt Dollar (I) (Rep),69,REP,19549
State House District 45,54500,Sara Tindall Ghazal (Dem),70,DEM,16006
State House District 45,54500,Total Votes,,,35555
State House District 46,54600,John Carson (I) (Rep),47,REP,21712
State House District 46,54600,Caroline L. Holko (Dem),48,DEM,13615
State House District 46,54600,Total Votes,,,35327
State House District 47,54700,Jan Jones (I) (Rep),64,REP,21039
State House District 47,54700,Anthia Owens Carter (Dem),65,DEM,13570
State House District 47,54700,Total Votes,,,34609
State House District 48,54800,Betty Price (Rep),66,REP,13349
State House District 48,54800,Mary Robichaux (I) (Dem),67,DEM,14635
State House District 48,54800,Total Votes,,,27984
State House District 49,54900,"Charles E. """"Chuck"""" Martin (I) (Rep)",68,REP,16974
State House District 49,54900,Jason T. Hayes (Dem),69,DEM,15166
State House District 49,54900,Total Votes,,,32140
State House District 50,55000,Jay Lin (Rep),70,REP,13504
State House District 50,55000,Angelika Kausche (I) (Dem),71,DEM,15111
State House District 50,55000,Total Votes,,,28615
State House District 51,55100,Alex B. Kaufman (Rep),72,REP,13274
State House District 51,55100,Josh McLaurin (I) (Dem),73,DEM,16398
State House District 51,55100,Total Votes,,,29672
State House District 52,55200,Deborah Silcox (I) (Rep),74,REP,16692
State House District 52,55200,Shea Roberts (Dem),75,DEM,17069
State House District 52,55200,Total Votes,,,33761
State House District 53,55300,Sheila Jones (I) (Dem),73,DEM,24615
State House District 53,55300,Total Votes,,,24615
State House District 54,55400,Lyndsey Rudder (Rep),77,REP,15521
State House District 54,55400,Betsy Holland (I) (Dem),78,DEM,21420
State House District 54,55400,Total Votes,,,36941
State House District 55,55500,Marie Metze (I) (Dem),79,DEM,27041
State House District 55,55500,Total Votes,,,27041
State House District 56,55600,Mesha Mainor (Dem),80,DEM,19664
State House District 56,55600,Total Votes,,,19664
State House District 57,55700,Stacey Evans (Dem),81,DEM,29595
State House District 57,55700,Total Votes,,,29595
State House District 58,55800,Park Cannon (I) (Dem),82,DEM,28021
State House District 58,55800,Total Votes,,,28021
State House District 59,55900,David Dreyer (I) (Dem),83,DEM,24657
State House District 59,55900,Total Votes,,,24657
State House District 60,56000,Kim Schofield (I) (Dem),40,DEM,19272
State House District 60,56000,Total Votes,,,19272
State House District 61,56100,Roger Bruce (I) (Dem),74,DEM,24095
State House District 61,56100,Total Votes,,,24095
State House District 62,56200,"William K. Boddie, Jr. (I) (Dem)",39,DEM,29482
State House District 62,56200,Total Votes,,,29482
State House District 63,56300,David Callahan (Rep),41,REP,6247
State House District 63,56300,Debra Bazemore (I) (Dem),42,DEM,23191
State House District 63,56300,Total Votes,,,29438
State House District 64,56400,Derrick L. Jackson (I) (Dem),42,DEM,26962
State House District 64,56400,Total Votes,,,26962
State House District 65,56500,Mandisha A. Thomas (Dem),40,DEM,26797
State House District 65,56500,Total Votes,,,26797
State House District 66,56600,Jason C. Jones (Rep),41,REP,9726
State House District 66,56600,Kimberly Alexander (I) (Dem),42,DEM,19407
State House District 66,56600,Total Votes,,,29133
State House District 67,56700,Micah Gravley (I) (Rep),43,REP,17648
State House District 67,56700,Angela Mayfield (Dem),44,DEM,10785
State House District 67,56700,Total Votes,,,28433
State House District 68,56800,J. Collins (I) (Rep),40,REP,24730
State House District 68,56800,Total Votes,,,24730
State House District 69,56900,Randy Nix (I) (Rep),41,REP,20856
State House District 69,56900,Herbert Giles (Dem),42,DEM,5286
State House District 69,56900,Total Votes,,,26142
State House District 70,57000,Lynn Smith (I) (Rep),43,REP,24742
State House District 70,57000,Total Votes,,,24742
State House District 71,57100,Philip Singleton (I) (Rep),37,REP,25530
State House District 71,57100,Jill  Prouty (Dem),38,DEM,9564
State House District 71,57100,Total Votes,,,35094
State House District 72,57200,Josh Bonner (I) (Rep),39,REP,26977
State House District 72,57200,Fred Rovner (Dem),40,DEM,9874
State House District 72,57200,Total Votes,,,36851
State House District 73,57300,Karen Mathiak (I) (Rep),47,REP,16263
State House District 73,57300,William Harris (Dem),48,DEM,12796
State House District 73,57300,Total Votes,,,29059
State House District 74,57400,Yasmin Neal (Dem),43,DEM,17865
State House District 74,57400,Total Votes,,,17865
State House District 75,57500,Mike Glanton (I) (Dem),44,DEM,21735
State House District 75,57500,Total Votes,,,21735
State House District 76,57600,Sandra Givens Scott (I) (Dem),45,DEM,24533
State House District 76,57600,Total Votes,,,24533
State House District 77,57700,Rhonda Burnough (I) (Dem),46,DEM,18616
State House District 77,57700,Total Votes,,,18616
State House District 78,57800,Demetrius Douglas (I) (Dem),47,DEM,24482
State House District 78,57800,Total Votes,,,24482
State House District 79,57900,Andrea Johnson (Rep),50,REP,11185
State House District 79,57900,Michael S. Wilensky (I) (Dem),51,DEM,16602
State House District 79,57900,Total Votes,,,27787
State House District 80,58000,Alan Cole (Rep),52,REP,12173
State House District 80,58000,Matthew Wilson (I) (Dem),53,DEM,17347
State House District 80,58000,Total Votes,,,29520
State House District 81,58100,Scott Holcomb (I) (Dem),54,DEM,17404
State House District 81,58100,Total Votes,,,17404
State House District 82,58200,Mary Margaret Oliver (I) (Dem),55,DEM,21436
State House District 82,58200,Total Votes,,,21436
State House District 83,58300,Becky Evans (I) (Dem),56,DEM,29045
State House District 83,58300,Total Votes,,,29045
State House District 84,58400,Renitta Shannon (I) (Dem),57,DEM,29992
State House District 84,58400,Total Votes,,,29992
State House District 85,58500,Karla Drenner (I) (Dem),58,DEM,22624
State House District 85,58500,Total Votes,,,22624
State House District 86,58600,Zulma Lopez (Dem),60,DEM,23209
State House District 86,58600,Total Votes,,,23209
State House District 87,58700,Viola Davis (I) (Dem),61,DEM,25870
State House District 87,58700,Total Votes,,,25870
State House District 88,58800,Billy Mitchell (I) (Dem),62,DEM,22598
State House District 88,58800,Total Votes,,,22598
State House District 89,58900,Bee Nguyen (I) (Dem),63,DEM,32600
State House District 89,58900,Total Votes,,,32600
State House District 90,59000,Pam Stephenson (I) (Dem),64,DEM,27001
State House District 90,59000,Total Votes,,,27001
State House District 91,59100,Rhonda S. Taylor (Dem),65,DEM,27293
State House District 91,59100,Total Votes,,,27293
State House District 92,59200,Doreen Carter (I) (Dem),66,DEM,20996
State House District 92,59200,Total Votes,,,20996
State House District 93,59300,"Hubert Owens, Jr. (Rep)",67,REP,5164
State House District 93,59300,Dar'Shun Kendrick (I) (Dem),68,DEM,26638
State House District 93,59300,Total Votes,,,31802
State House District 94,59400,Karen Bennett (I) (Dem),69,DEM,25712
State House District 94,59400,Total Votes,,,25712
State House District 95,59500,Erica McCurdy (Rep),93,REP,13023
State House District 95,59500,Beth Moore (I) (Dem),94,DEM,16530
State House District 95,59500,Total Votes,,,29553
State House Dist 96/Estatal ante la Asamblea General Dist 96,59600,"Pedro """"Pete"""" Marin (I) (Dem)",57,DEM,15015
State House Dist 96/Estatal ante la Asamblea General Dist 96,59600,Total Votes,,,15015
State House Dist 97/Estatal ante la Asamblea General Dist 97,59700,Bonnie Rich (I) (Rep),58,REP,16929
State House Dist 97/Estatal ante la Asamblea General Dist 97,59700,Mary Blackmon Campbell (Dem),59,DEM,15520
State House Dist 97/Estatal ante la Asamblea General Dist 97,59700,Total Votes,,,32449
State House Dist 98/Estatal ante la Asamblea General Dist 98,59800,David Clark (I) (Rep),60,REP,18595
State House Dist 98/Estatal ante la Asamblea General Dist 98,59800,Taeho Cho (Dem),61,DEM,12888
State House Dist 98/Estatal ante la Asamblea General Dist 98,59800,Total Votes,,,31483
